apn,address,base_zoning,lot_size_sqft,zip_code,original_score,calibrated_score,score_improvement,original_tier,calibrated_tier,toc_tier,toc_bonus_points,toc_station,distance_to_transit,final_use_case,investment_grade
2355006035,11849 W HARTSOOK ST,R1,7799.8,91607.0,33.67,31.78,-1.8900000000000006,D,D,0.0,0.0,Sierra Madre Villa,48906.0,Hold/Income Property,False
6002014033,1611 W 60TH ST,R1,3370.5,90047.0,26.43,27.62,1.1900000000000013,D,D,,,,,Hold/Income Property,False
5050006038,2432 S WEST BLVD,R2,3818.1,90016.0,31.05,33.32,2.2699999999999996,D,D,0.0,0.0,North Hollywood,31638.0,Hold/Income Property,False
2538027005,11254 W SHELDON ST,RA,20014.1,91352.0,37.7,36.8,-0.9000000000000057,D,D,1.0,5.0,Crenshaw/Slauson,2414.0,Hold/Income Property,False
4238022017,1803 S STRONGS DR,R3,3836.0,90291.0,38.34,39.34,1.0,D,D,,,,,Multi-Family Development,False
4377037014,10860 W VIA VERONA,RE15,12520.6,90077.0,34.38,32.51,-1.8700000000000045,D,D,,,,,Hold/Income Property,False
4257015050,12051 W NATIONAL BLVD,R1V2,7335.5,90064.0,33.28,31.47,-1.8100000000000023,D,D,0.0,0.0,Highland Park,8666.0,Hold/Income Property,False
5473030025,1741 W COLLEGE VIEW PL,R1,9653.3,90041.0,35.21,33.02,-2.1899999999999977,D,D,,,,,Hold/Income Property,False
2112005019,21121 W COHASSET ST,R1,6209.7,91303.0,32.01,30.46,-1.5499999999999972,D,D,,,,,Hold/Income Property,False
6018027014,1515 W 79TH ST,R1,5438.6,90047.0,31.05,29.69,-1.3599999999999994,D,D,,,,,Hold/Income Property,False
4244005002,12906 W WARREN AVE,R1V2,6050.2,90066.0,31.81,30.3,-1.509999999999998,D,D,0.0,0.0,Highland Park,4196.0,Hold/Income Property,False
5549026030,2178 N BROADVIEW TER,R2,2307.0,90068.0,27.84,31.81,3.969999999999999,D,D,,,,,Hold/Income Property,False
4238006026,514 E ALTAIR PL,RD1.5,2707.2,90291.0,35.71,36.46,0.75,D,D,0.0,0.0,Little Tokyo/Arts District,12488.0,Hold/Income Property,False
5510010010,6217 W 5TH ST,R1,6025.3,90048.0,31.78,30.28,-1.5,D,D,0.0,0.0,Compton,24101.0,Hold/Income Property,False
2510007017,13572 N KISMET AVE,R1,5590.0,91342.0,31.24,29.84,-1.3999999999999986,D,D,,,,,Hold/Income Property,False
2222022004,15414 W LEADWELL ST,R1,6749.6,91406.0,32.69,31.0,-1.6899999999999977,D,D,0.0,0.0,North Hollywood,46140.0,Hold/Income Property,False
5480025005,1222 W WILDWOOD DR,R1,6179.8,90041.0,31.97,30.43,-1.5399999999999991,D,D,0.0,0.0,North Hollywood,33419.0,Hold/Income Property,False
4409020017,781 N RANCH LANE,RE11,8858.9,90272.0,31.3,28.24,-3.0600000000000023,D,D,,,,,Hold/Income Property,False
4254015008,3244 S MIDVALE AVE,R1,5939.4,90034.0,31.67,30.19,-1.4800000000000004,D,D,0.0,0.0,Sierra Madre Villa,49514.0,Hold/Income Property,False
4244005025,13001 W ROSE AVE,R1V2,7795.5,90066.0,33.66,31.78,-1.8799999999999955,D,D,0.0,0.0,Downtown Santa Monica,16632.0,Hold/Income Property,False
2701010054,19610 W TURTLE SPRINGS WAY,RD6,4897.8,91326.0,31.29,31.95,0.6600000000000001,D,D,,,,,Hold/Income Property,False
5565040012,8382 W MULHOLLAND DR,RE15,12817.6,90046.0,34.45,32.63,-1.8200000000000003,D,D,0.0,0.0,Sierra Madre Villa,29874.0,Hold/Income Property,False
