apn,address,zip_code,zoning,lot_size,building_sqft,units,toc_status
5051036032,"3034 S 9TH AVE",90018,R2-1XL-O,"5,783.4 (sq ft)","1,500.0 (sq ft)",2,
2762035001,"19119 1-34 W NORDHOFF ST",91324,R3-1,"46,360.2 (sq ft)","33,380.0 (sq ft)",38,
2870014028,"18122 W COLCHESTER WAY",91326,RE11-1-H,"19,072.2 (sq ft)","3,124.0 (sq ft)",1,
2870003019,"18678 W CUMNOCK PL",91326,RE11-1-H,"8,742.5 (sq ft)","2,435.0 (sq ft)",1,
2101013011,"8060 N ZELZAH AVE",91335,R1-1,"5,999.5 (sq ft)","1,192.0 (sq ft)",1,
2339006001,"5807 N RADFORD AVE",91607,R1-1,"6,047.6 (sq ft)","1,379.0 (sq ft)",1,
4356017020,"1447 N SAN YSIDRO DR",90210,RE40-1-H-HCR,"14,835.4 (sq ft)","5,782.0 (sq ft)",1,
6018027014,"1515 W 79TH ST",90047,R1-1,"5,438.6 (sq ft)","1,328.0 (sq ft)",1,
5582007008,"3145 N DURAND DR",90068,R1-1-HCR,"1,546.0 (sq ft)","4,598.0 (sq ft)",1,
2701032016,"19808 W SIERRA MEADOWS LANE",91326,RD6-1,"4,861.5 (sq ft)","2,358.0 (sq ft)",1,
2416019015,"5538 N CARTWRIGHT AVE",91601,R1-1VL,"6,138.4 (sq ft)","1,147.0 (sq ft)",1,
5082024019,,,C4-1-O,"1,916.0 (sq ft)","2,117.0 (sq ft)",1,
5085012018,"5422 W EDGEWOOD PL",90019,R2-1-HPOZ,"6,250.1 (sq ft)","1,749.0 (sq ft)",1,
2745003010,"22156 W ROMAR ST",91311,R1-1,"9,060.6 (sq ft)","2,107.0 (sq ft)",1,
6033024016,"1011 W 84TH PL",90044,C2-2D-CPIO,"5,500.2 (sq ft)",,,
4127010016,"5534 W 76TH ST",90045,R1-1,"6,055.8 (sq ft)","806.0 (sq ft)",1,
5105012012,"5551 S HOLMES AVE",90058,CM-2D-CPIO,"4,800.4 (sq ft)","720.0 (sq ft)",1,
2369004002,"12109 W CANTURA ST",91604,R1-1-RIO,"5,199.9 (sq ft)","1,815.0 (sq ft)",1,
5121005010,"682 E 36TH ST",90011,RD2-1,"4,800.1 (sq ft)","1,092.0 (sq ft)",1,
2148004009,"6751 N LURLINE AVE",91306,RS-1-RIO,"7,499.7 (sq ft)","1,362.0 (sq ft)",1,
4110025034,"7471 S DENROCK AVE",90045,R1V2,"5,876.0 (sq ft)","2,620.0 (sq ft)",1,
6019005018,"1327 W 78TH ST",90044,R1-1,"5,933.6 (sq ft)","1,391.0 (sq ft)",1,
2076003028,"22932 W CASS AVE",91364,R1-1,"8,141.9 (sq ft)","1,778.0 (sq ft)",1,
5053007004,,,C2-2D-O-HPOZ-CPIO,"2,340.1 (sq ft)","1,274.0 (sq ft)",0,
4264004005,"553 S MORENO AVE",90049,RE15-1,"27,026.7 (sq ft)","7,894.0 (sq ft)",1,
2038010005,"23033 W VICTORY BLVD",91307,RS-1,"8,997.2 (sq ft)","1,354.0 (sq ft)",1,
5054004023,"1644 W 25TH ST",90007,R2-1-HPOZ,"5,000.0 (sq ft)","1,907.0 (sq ft)",1,
2524016006,"13466 W BROWNELL ST",91340,R1-1-CUGU,"7,438.8 (sq ft)","910.0 (sq ft)",1,
2078006006,"22611 W FLAMINGO ST",91364,RE15-1-H,"10,471.9 (sq ft)","2,233.0 (sq ft)",1,
7425015003,"1310 E ROBIDOUX ST",90744,R1-1XL-O-CUGU,"5,120.6 (sq ft)","1,424.0 (sq ft)",1,
5469009002,"645 N AVE 50",90042,RD2-1-HCR,"6,154.0 (sq ft)","1,092.0 (sq ft)",1,
6013024005,"7014 S ESTRELLA AVE",90044,R2-1,"5,397.8 (sq ft)","1,210.0 (sq ft)",1,
4377041051,"11727 W FOLKSTONE LANE",90077,(Q)RD6-1-H-HCR,"5,944.8 (sq ft)","3,882.0 (sq ft)",1,
5484031034,"6207 E MOUNT ANGELUS PL",90042,R1-1-HPOZ-HCR,"7,349.5 (sq ft)","1,820.0 (sq ft)",1,
2212004017,"8243 N LENNOX AVE",91402,R1-1,"6,371.6 (sq ft)","1,718.0 (sq ft)",1,
2166022008,"20445 W WELLS DR",91364,RA-1,"16,829.7 (sq ft)","1,772.0 (sq ft)",1,
2501018021,,,RS-1-K,"8,744.6 (sq ft)","1,376.0 (sq ft)",1,
5085008032,"1031 S BURNSIDE AVE",90019,R1-1-O-HPOZ,"7,366.2 (sq ft)","2,416.0 (sq ft)",1,
4404011006,"308 S KENTER AVE",90049,R1-1,"5,755.0 (sq ft)","1,572.0 (sq ft)",1,
4257023051,"2523 S AMHERST AVE",90064,R1-1,"5,048.1 (sq ft)","3,295.0 (sq ft)",1,
4371020011,"869 UNKNOWN ST (HH)",90077,RE40-1-H-HCR,"3,147.3 (sq ft)",,,
2118022005,"7325 N RHEA AVE",91335,R1-1,"8,036.9 (sq ft)","1,629.0 (sq ft)",1,
2761034023,"9826 N BELMAR AVE",91324,RA-1,"16,838.7 (sq ft)","3,196.0 (sq ft)",1,
7414019028,"1324 W Q ST",90744,R1-1XL-CUGU,"7,422.6 (sq ft)","1,382.0 (sq ft)",1,
4259039052,"12004 W AYRES AVE",90064,R1-1,"4,726.6 (sq ft)","1,500.0 (sq ft)",1,
5119021007,"1246 E ADAMS BLVD",90011,RD1.5-1,"5,891.9 (sq ft)","1,202.0 (sq ft)",1,
6083009029,"251 E 116TH PL",90061,R2-1,"3,988.0 (sq ft)","1,080.0 (sq ft)",1,
4321006054,"2079 S PROSSER AVE",90025,R1-1-O,"6,882.0 (sq ft)","2,429.0 (sq ft)",1,
2364009023,"12455 W SARAH ST",91604,R1-1-RIO,"8,734.6 (sq ft)","3,080.0 (sq ft)",1,
5179020027,"308 N LORENA ST",90063,RD1.5-1-CUGU,"9,232.9 (sq ft)","3,425.0 (sq ft)",2,
2747009083,"21323 W MAYALL ST",91311,RS-1,"7,352.5 (sq ft)","1,969.0 (sq ft)",1,
2283020010,"4362 N FIRMAMENT AVE",91403,R1-1,"11,122.7 (sq ft)","3,998.0 (sq ft)",1,
4238022017,"1803 S STRONGS DR",90291,R3-1-O,"3,836.0 (sq ft)","11,408.0 (sq ft)",2,
5432020007,"2335 N KENILWORTH AVE",90039,R1-1VL,"8,781.6 (sq ft)","1,996.0 (sq ft)",1,
2639034008,"8931 N COSTELLO AVE",91402,R1-1,"9,896.2 (sq ft)","996.0 (sq ft)",1,
5512009009,"141 S VISTA ST",90036,R1-1-HPOZ,"6,103.5 (sq ft)","2,612.0 (sq ft)",1,
5087014002,"1110 S ALVIRA ST",90035,R1-1-O-HPOZ,"6,376.2 (sq ft)","400.0 (sq ft)",1,
2293001017,"3836 N HAYVENHURST AVE",91436,RE15-1-H,"25,425.5 (sq ft)","2,339.0 (sq ft)",1,
2408014019,"8430 N LEHIGH AVE",91352,R1-1-CUGU,"6,322.2 (sq ft)","845.0 (sq ft)",1,
7448016033,"916 N GAFFEY PL",90731,R1-1XL,"3,370.3 (sq ft)","1,106.0 (sq ft)",1,
5064009033,"1771 S HAUSER BLVD",90019,RD1.5-1,"5,406.8 (sq ft)","1,320.0 (sq ft)",1,
4307014014,"1919 S ROXBURY DR",90035,R1V2-O,"11,642.1 (sq ft)","3,029.0 (sq ft)",1,
2110001085,"8235 1-38 N OWENSMOUTH AVE",91304,R3-1,"45,399.8 (sq ft)","38,978.0 (sq ft)",41,
2130022014,"7012 N SHIRLEY AVE",91335,R1-1-RIO,"6,037.3 (sq ft)","1,062.0 (sq ft)",1,
2701022003,"19617 W PINE VALLEY WAY",91326,RE11-1-H,"9,163.3 (sq ft)","3,662.0 (sq ft)",1,
2503015012,"13439 W ASTORIA ST",91342,RS-1,"9,099.2 (sq ft)","1,961.0 (sq ft)",1,
2123003010,"6505 N YARMOUTH AVE",91335,R1-1-RIO,"6,041.4 (sq ft)","1,447.0 (sq ft)",1,
5188015006,"3564 1/2 E SISKIYOU ST",90023,RD1.5-1-CUGU,"3,329.9 (sq ft)","696.0 (sq ft)",1,
2405007018,,,R1-1,"2,770.9 (sq ft)","1,181.0 (sq ft)",1,
4114026003,"7533 W 85TH ST",90293,R1-1,"4,903.1 (sq ft)","2,261.0 (sq ft)",1,
6119017016,"566 W 149TH ST",90248,R1-1,"5,204.8 (sq ft)","1,321.0 (sq ft)",1,
5135004005,"1310 S WESTLAKE AVE",90006,RD1.5-1-HPOZ,"9,432.2 (sq ft)","616.0 (sq ft)",2,
5058011009,"2407 S GRAMERCY PARK",90018,R1-1-O-HPOZ,"6,929.2 (sq ft)","3,180.0 (sq ft)",1,
6016012009,"1926 W 65TH PL",90047,R1-1,"4,084.2 (sq ft)","1,142.0 (sq ft)",1,
5153003034,"428 3/4 S BURLINGTON AVE",90057,R4-1,"9,089.5 (sq ft)","2,661.0 (sq ft)",4,
4314021019,"3326 1-9 S KEYSTONE AVE",90034,R3-1,"7,495.2 (sq ft)","7,766.0 (sq ft)",9,
2701077008,"11689 N CETONA WAY",91326,RE-1,"6,510.2 (sq ft)","3,134.0 (sq ft)",1,
5544007033,"5449 A-D W HOLLYWOOD BLVD",90027,[Q]C4-2D,"70,287.4 (sq ft)","16,340.0 (sq ft)",0,
5420033008,"1540 W EWING ST",90026,RD3-1VL,"3,374.1 (sq ft)","1,295.0 (sq ft)",1,
5455002010,"2044 E ISABEL ST",90065,RD2-1,"1,260.6 (sq ft)","405.0 (sq ft)",1,
2353003018,"11263 W OTSEGO ST",91601,R4-1VL,"6,894.1 (sq ft)","5,327.0 (sq ft)",8,
6054021024,"535 1/2 W CENTURY BLVD",90044,R3-1,"4,040.4 (sq ft)","536.0 (sq ft)",1,
2219023003,"6847 N VESPER AVE",91405,R1-1,"6,752.3 (sq ft)","1,316.0 (sq ft)",1,
5209018014,"2835 N FOREST PARK DR",90032,[Q]RE20-1D-HCR,"3,943.6 (sq ft)",,,
4246011001,"12563 W WINDWARD AVE",90066,R1V2,"7,500.2 (sq ft)","1,860.0 (sq ft)",1,
2514009024,"12133 N BROMONT AVE",91340,R1-1-CUGU,"6,057.7 (sq ft)","1,661.0 (sq ft)",1,
